2024-12-31 at 22:34:37 | INFO | Бот успешно запущен
2024-12-31 at 22:34:37 | ERROR | Бот остановлен
2024-12-31 at 22:36:40 | INFO | Бот успешно запущен
2024-12-31 at 22:36:40 | ERROR | Бот остановлен
2024-12-31 at 22:37:14 | INFO | Бот успешно запущен.
2024-12-31 at 22:37:41 | INFO | Бот успешно запущен
2024-12-31 at 22:37:41 | ERROR | Бот остановлен
2024-12-31 at 22:38:43 | INFO | Бот успешно запущен
2024-12-31 at 22:38:43 | ERROR | Бот остановлен
2024-12-31 at 22:39:13 | INFO | Бот успешно запущен
2024-12-31 at 22:39:13 | ERROR | Бот остановлен
2024-12-31 at 22:39:27 | INFO | Бот успешно запущен
2024-12-31 at 22:39:27 | ERROR | Бот остановлен
2024-12-31 at 22:39:42 | INFO | Бот успешно запущен.
2024-12-31 at 22:39:42 | ERROR | Бот остановлен
2024-12-31 at 22:39:58 | INFO | Бот успешно запущен
2024-12-31 at 22:39:58 | ERROR | Бот остановлен!
2024-12-31 at 22:40:23 | INFO | Бот успешно запущен
2024-12-31 at 22:40:25 | ERROR | Бот остановлен
2024-12-31 at 22:40:29 | INFO | Бот успешно запущен
2024-12-31 at 22:40:35 | ERROR | Бот остановлен
2024-12-31 at 22:41:18 | INFO | Бот успешно запущен
2024-12-31 at 22:41:18 | ERROR | Бот остановлен
2024-12-31 at 22:41:34 | INFO | Бот успешно запущен
2024-12-31 at 22:41:38 | ERROR | Бот остановлен
2024-12-31 at 22:41:50 | INFO | Бот успешно запущен
2024-12-31 at 22:47:23 | ERROR | Бот остановлен
2024-12-31 at 22:47:26 | INFO | Бот успешно запущен
2024-12-31 at 22:48:00 | ERROR | Бот остановлен
2024-12-31 at 23:01:59 | INFO | Бот успешно запущен
2024-12-31 at 23:02:43 | ERROR | Бот остановлен
2024-12-31 at 23:02:55 | INFO | Бот успешно запущен
2024-12-31 at 23:03:00 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 650112854}
